OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
NAVSTAR 47 (USA 150),2000-025A,2025-12-03T20:43:35.059008,2.0056828,0.00387989,55.0399,27.1971,241.132,287.663,0,U,26360,999,18735,0.0,-7.1e-07,0.0
TDRS 8,2000-034A,2025-12-04T03:04:51.592224,1.00273884,0.0003861,12.3749,32.947,237.2262,294.1303,0,U,26388,999,9322,0.0,-1.9e-06,0.0
NAVSTAR 48 (USA 151),2000-040A,2025-12-03T20:42:39.159072,2.00567714,0.0126499,54.893,222.9221,301.6438,66.2593,0,U,26407,999,18603,0.0,6e-07,0.0
CLUSTER II-FM7 (SAMBA),2000-041A,2025-12-04T23:24:07.063200,0.44865201,0.87440487,147.4807,24.4082,240.0649,0.3876,0,U,26410,999,1944,0.0,2.897e-05,0.0
CLUSTER II-FM8 (TANGO),2000-045B,2025-12-05T18:25:45.981984,0.44417165,0.87523509,147.8008,25.1141,240.6457,0.3625,0,U,26464,999,1944,0.0,2.962e-05,0.0
NSS-11,2000-059A,2025-12-04T12:42:38.678976,1.00269675,0.0003288,1.6222,83.7395,169.4343,187.0933,0,U,26554,999,3933,0.0,3.9e-07,0.0
USA 153,2000-065A,2025-12-04T12:39:18.268128,1.00271913,0.0002868,11.2889,36.9959,224.7031,136.2469,0,U,26575,999,3098,0.0,-3.18e-06,0.0
AMC-6,2000-067A,2025-12-04T14:10:38.722944,1.00271341,0.0003091,0.0451,52.4979,181.4119,277.3772,0,U,26580,999,9194,0.0,1.03e-06,0.0
NAVSTAR 49 (USA 154),2000-071A,2025-12-02T17:21:38.601216,2.00574148,0.01685723,55.5138,102.7189,264.2044,282.8682,0,U,26605,999,18357,0.0,1.4e-07,0.0
ODIN,2001-007A,2025-12-04T16:59:09.216384,15.50580245,0.0004691,97.4231,6.3835,128.6898,231.4774,0,U,26702,999,35908,0.0009431,0.0005416,0.0
USA 157 (MILSTAR-2 2),2001-009A,2025-12-04T06:09:52.132896,1.00274475,0.0043007,11.3273,20.9375,185.9348,168.8471,0,U,26715,999,3098,0.0,1.16e-06,0.0
BSAT-2A,2001-011B,2025-12-04T01:34:02.734752,0.99180097,0.00085322,10.3181,49.2593,203.1775,167.8801,0,U,26720,999,9004,0.0,-2.46e-06,0.0
