MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,ORBIT_PERIOD_SEC,SEMI_MAJOR_AXIS,ORBIT_HEIGHT,PERIGEE,APOGEE,ORBITAL_SPEED,AGE_SINCE_LAUNCH,SAT_TYPE_A,SAT_TYPE_B,SAT_TYPE_C,SAT_TYPE_D,SAT_TYPE_E,SAT_TYPE_F,SAT_TYPE_G,SAT_TYPE_H,SAT_TYPE_J,SAT_TYPE_K,SAT_TYPE_L,SAT_TYPE_M,SAT_TYPE_N,SAT_TYPE_P,SAT_TYPE_Q,SAT_TYPE_R,SAT_TYPE_S,SAT_TYPE_T,SAT_TYPE_U,SAT_TYPE_V,SAT_TYPE_W,SAT_TYPE_X,SAT_TYPE_Y,SAT_TYPE_Z
0.7705004809441836,-0.057081214190915816,-0.5017428874185993,0.08969785787458237,0.4261840710620503,-0.41867460512713683,3.0729886144951957,-0.0020880890528815416,0.016953582335476145,-0.013178202933396067,-0.7153051889211369,-0.7244720016955495,-0.7244720016955457,-0.7240800772714959,-0.7164802456600434,0.7520721472842228,7.047976261680686,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09963432923292379,0.06614337465919717,0.3816395294654552,-1.5417216090596362,0.6669950222577197,-0.6584742263699732,2.5178174196034817,0.05831483108949805,-0.0021629756475695116,-0.013178202933396067,-0.13066505266970152,-0.1257177011604403,-0.12571770116043646,-0.13315567006154483,-0.11703604800275201,0.11032725804961957,7.047976261680686,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.7984020863816512,0.2645630425029006,1.7722953942389887,1.3984558844150257,0.5968005067522651,-0.5890065401374021,2.043721714085205,-0.03761366775044114,-0.03231147267134274,-0.013178202933396067,0.7041913291836226,0.7201209699764313,0.720120969976435,0.6982690973591108,0.7330357969259715,-0.7674103908535073,6.762610649207272,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.05139095652091,0.0339495631578163,-0.8215397211554274,-1.489018094614463,0.23228490807452756,-0.22585711020794555,1.6978699517951712,0.07390956206811851,-0.026763947261274356,-0.013178202933396067,0.9510254391960136,0.9682035346001224,0.9682035346001263,0.9727105967159717,0.9526338134560182,-1.0187079327261408,6.762610649207272,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6594685341303106,-0.06201150378189808,1.739431738488739,-1.3385135968438309,-0.5122359807117416,-2.068915603317342,1.864541868611196,-0.015264860320734385,-0.03005522655746396,-0.013178202933396067,0.5708849964941008,0.5857663214361822,0.5857663214361861,0.5973737558966487,0.5677157467734366,-0.6301721157888592,6.762610649207272,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7911198236562825,-0.02132845192518351,1.7126949591121754,-1.565835687729931,-0.35776695258076646,0.3619519799893606,1.6978699517951712,0.10881384286116823,0.13765486045556471,-0.013178202933396067,-0.7327791379269287,-0.7424516512144775,-0.7424516512144734,-0.7458283406356153,-0.7305895000160403,0.7716140873890347,6.1918794242604465,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.1302116348999875,0.06695964777028694,0.24402417994506198,-1.3651221061281125,1.1430311036161684,-1.132277472106107,0.9706770633722706,-0.018206682862275222,-0.031834978736803306,-0.013178202933396067,1.0290298444399328,1.0464170955836383,1.046417095583642,1.0480142466821551,1.0327715252949783,-1.0973739372431122,6.1918794242604465,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07593317791616008,1.714296738722791,1.7385999920512694,1.519989566523518,-1.0765341773102028,1.0824674843130189,1.3607586697721623,0.014697704648474131,-0.014570751479417568,-0.013178202933396067,-0.10942166794769533,-0.10406273387630238,-0.10406273387629854,-0.28154401530017165,0.06962879684832858,0.0874409903118883,6.1918794242604465,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.11413681677734462,-0.1272807017446368,0.5833767264326271,0.8790005480912221,0.6823046625744457,-0.6731738517140426,1.2654422254809004,0.012086922462535923,-0.020500103154911593,-0.013178202933396067,0.062444141205595764,0.07087591017388573,0.07087591017388957,0.0850482102329255,0.05628315824696501,-0.09663282236290734,6.1918794242604465,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.126957548687704,0.44900811468474694,1.8272051663172815,-0.2481035206973211,1.26115522568635,-0.5824878873045869,0.4958278681758019,-0.04567723063910194,-0.03329286084115575,-0.013178202933396067,2.0633016643524575,2.075261633175451,2.0752616331754545,2.0428357846222185,2.0827917639140634,-2.1079233722789574,6.1918794242604465,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
