OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-33616,2025-063Y,2026-02-01T22:10:37.567488,15.30200855,0.00012325,53.1567,229.2421,86.0857,274.0285,0,U,63385,999,4908,0.00053545197,0.00015533,0.0
STARLINK-33571,2025-063Z,2026-02-01T20:15:17.273952,15.30204547,9.521e-05,53.156,229.4243,97.3046,262.8063,0,U,63386,999,4907,0.0006865194,0.00020031,0.0
STARLINK-33533,2025-063AA,2026-02-02T05:11:29.638464,15.30192565,9.551e-05,53.1581,214.7221,119.1311,240.9785,0,U,63387,999,4931,0.0011177275,0.00032884,0.0
STARLINK-33629,2025-063AB,2026-02-02T05:25:08.656032,15.30216327,0.00017666,53.1581,214.7783,84.7861,275.3342,0,U,63388,999,4936,0.0010624401,0.00031256,0.0
STARLINK-33656,2025-063AC,2026-02-01T19:08:33.698400,15.30202448,0.00011269,53.1569,219.2144,84.3086,275.8044,0,U,63389,999,4926,0.00070245236,0.00020504,0.0
LEMUR-2-BALTO,2025-052BH,2026-02-02T05:47:25.109376,14.9837311,0.00039877,97.704,288.4991,98.6332,261.5343,0,U,63395,999,4854,0.00062463801,7.393e-05,0.0
TJS-16,2025-064A,2026-02-01T16:53:19.486464,1.00270652,0.0005392,0.7487,82.0438,242.7227,221.0065,0,U,63397,999,303,0.0,-1.16e-06,0.0
STARLINK-33531,2025-065A,2026-02-01T19:27:16.353216,15.27605941,0.00012771,42.9962,309.6253,181.9186,178.1661,0,U,63399,999,4735,0.00095383751,0.00026099,0.0
STARLINK-33652,2025-065B,2026-02-02T04:15:12.990816,15.27592984,0.00013191,42.999,307.2166,254.3651,105.7055,0,U,63400,999,4741,0.00042222263,0.00011379,0.0
STARLINK-33707,2025-065C,2026-02-02T03:12:31.018176,15.27594526,0.00016882,43.0068,307.7565,297.1326,62.9354,0,U,63401,999,4740,0.00076776625,0.00020934,0.0
STARLINK-33668,2025-065D,2026-02-02T03:38:25.272096,15.27600955,0.00016584,43.0026,307.8906,268.4667,91.5995,0,U,63402,999,4740,0.0005010825,0.00013561,0.0
