OBJECT_NAME,NORAD_CAT_ID,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,CLUSTER,ANOMALY_LABEL,ANOMALY_SCORE,TOP_DEVIATING_FEATURE,DEVIATION_SIGMA
SHIYAN-20C (SY-20C),54214,14.29497133,0.0010837,59.9955,205.9857,207.5958,7.6792e-05,6e-07,0.0,0,-1,-0.001962207869048771,MEAN_MOTION,2.7293294128602503
YAOGAN-34 03,54249,13.45434676,0.0069461,63.4043,108.5989,354.6455,3.2494e-05,-7.1e-07,0.0,0,-1,-0.1733050285220893,ECCENTRICITY,14.530224833029127
SHIYAN-20A (SY-20A),54699,14.29501893,0.0016093,59.9957,146.3414,131.2373,6.2423e-05,2.4e-07,0.0,4,-1,-0.008228970811595904,ECCENTRICITY,3.171275752523224
SHIYAN-20B (SY-20B),54700,14.29513043,0.0020426,59.9953,145.9343,143.5233,7.3631e-05,5.3e-07,0.0,4,-1,-0.03605052465839009,ECCENTRICITY,4.135867975430414
SWOT,54754,14.00172608,6.9e-05,77.6098,143.8065,216.8197,6.6054e-05,9.5e-07,0.0,3,-1,-0.020285555494678753,INCLINATION,1.8872427981298907
STARLINK-5381,54828,15.24682447,0.000174,43.0007,27.9408,263.5883,0.060124,0.01679057,0.0,0,-1,-0.05675731324348188,BSTAR,5.057118925315316
STARLINK-5061,54847,15.20587649,0.000126,42.9999,2.0352,238.5529,0.049059,0.01194188,0.0,0,-1,-0.05252952492680729,BSTAR,4.0920542185901825
EROS C3,54880,15.12028824,0.0003763,139.3375,266.0037,200.4049,0.0002852,5.248e-05,0.0,3,-1,-0.09062754743850354,INCLINATION,4.8292562264981305
STARLINK-5330,55282,15.00114267,0.0009784,70.0001,356.079,204.0624,0.019229,0.00249085,0.0,0,-1,-0.08427022580160382,BSTAR,1.4903479193031768
STARLINK-5337,55284,14.97023889,0.0008856,70.0004,356.0924,342.6271,-0.0047579,-0.00054599,0.0,0,-1,-0.03838712274355682,ARG_OF_PERICENTER,2.8324589921567322
STARLINK-5671,55339,15.11792669,0.0001699,42.9999,195.5315,272.3339,-0.045765,-0.00738672,0.0,0,-1,-0.025222021393021654,BSTAR,4.178284303823194
STARLINK-5627,55364,15.12132907,0.0001238,42.9998,194.9899,246.3231,-0.040996,-0.00672482,0.0,0,-1,-0.02936727604167677,BSTAR,3.7623427234913223
STARLINK-5639,55365,15.11699594,0.0001412,43.0001,208.7973,258.0163,-0.042996,-0.00695192,0.0,0,-1,-0.02740441100585078,BSTAR,3.9367782782541116
STARLINK-5590,55371,15.12177082,0.0002202,43.0009,208.6836,256.9547,-0.052883,-0.00863313,0.0,0,-1,-0.039892018207855706,BSTAR,4.799100443223962
STARLINK-5739,55571,15.20905838,0.0001046,42.9994,260.0036,288.4144,0.080558,0.02017894,0.0,0,-1,-0.07410326687918745,BSTAR,6.839326988326737
STARLINK-5738,55573,15.20878997,0.0001344,42.9991,259.8301,261.284,0.078266,0.01952058,0.0,0,-1,-0.06109156668283133,BSTAR,6.63942384256858
STARLINK-5745,55575,15.21880549,0.0001373,42.9991,259.8296,262.4501,0.072601,0.01854891,0.0,0,-1,-0.042560088731064094,BSTAR,6.145335133702978
STARLINK-5722,55610,15.25024854,0.0001624,42.9991,246.3571,280.2506,0.059695,0.01684787,0.0,0,-1,-0.018807131780858688,BSTAR,5.019702498818697
STARLINK-5467,55660,14.97721806,0.0004779,69.9985,116.0779,115.9764,-0.0070025,-0.00081409,0.0,4,-1,-0.034027484701815935,INCLINATION,5.8906341444777714
STARLINK-5927,55934,14.9679259,0.0004849,69.9992,236.7309,115.9077,-0.01792,-0.00199889,0.0,3,-1,-0.059738825654313876,INCLINATION,2.7153408396385497
STARLINK-5851,55947,15.65799937,0.0004257,70.0006,228.2687,272.3233,0.0083711,0.00938289,0.0,0,-1,-0.009312361673222025,MEAN_MOTION_DOT,2.606337650087974
STARLINK-5905,55986,15.18809519,8.35e-05,42.9994,311.4194,268.6911,0.05093,0.01176079,0.0,0,-1,-0.013622731939483046,BSTAR,4.255238680070772
STARLINK-5956,55994,15.20479759,0.0001806,42.9997,311.0297,286.3651,0.04798,0.01161415,0.0,0,-1,-0.002711300007499473,BSTAR,3.997946236795658
STARLINK-5902,55998,15.22392128,0.0001779,42.9993,310.9342,275.4101,0.048729,0.01255998,0.0,0,-1,-0.002619493650848126,BSTAR,4.063272352054323
STARLINK-5901,55999,15.2096992,0.0002051,42.9986,311.1783,250.7749,0.051743,0.01281711,0.0,0,-1,-0.01924079213273011,BSTAR,4.326146733081846
STARLINK-5910,56000,15.17589808,0.000198,42.9996,311.1708,264.5525,0.064895,0.01453218,0.0,0,-1,-0.04251699502796624,BSTAR,5.47323494120195
STARLINK-5799,56002,15.18754851,0.0001637,42.9985,311.1594,262.0051,0.058066,0.01334521,0.0,0,-1,-0.029399295173962114,BSTAR,4.877624739464405
