OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,ORBIT_PERIOD_SEC,SEMI_MAJOR_AXIS,ORBIT_HEIGHT,PERIGEE,APOGEE,ORBITAL_SPEED,AGE_SINCE_LAUNCH,SAT_TYPE,CLUSTER,ANOMALY_LABEL,ANOMALY_SCORE
ORBCOMM FM32,1999-065C,2026-04-10 10:34:40.189152,14.37031691,0.0003696,45.0141,133.8834,75.6897,284.4361,0,U,25982,999,37734,0.00027001,6.66e-06,0.0,6012.393501209153,7146.3924111607375,775.3924111607375,765.7511045255724,771.0337177959027,7.468258321434655,27.3,C,4,1,0.08989020761418909
TERRA,1999-068A,2026-04-10 12:09:53.460000,14.61050439,0.0003657,97.9529,152.7154,86.8546,49.2633,0,U,25994,999,39972,8.5015e-05,3.73e-06,0.0,5913.553542965672,7067.854778622582,696.8547786225818,687.2700641300389,692.4394931151237,7.509637137072301,27.3,A,4,1,0.16754357730366942
ISS (ZVEZDA),2000-037A,2026-04-10 12:31:01.824096,15.48861768,0.0006412,51.6328,274.9695,295.7162,64.3164,0,U,26400,999,56104,0.00012746,6.547e-05,0.0,5578.289927807166,6798.127680440125,427.127680440125,415.7687209714268,424.48663990882324,7.657166714327303,26.3,A,4,1,0.0837822966177944
ISS (DESTINY),2001-006B,2026-04-10 12:31:01.824096,15.48861768,0.0006412,51.6328,274.9695,295.7162,64.3164,0,U,26700,999,56108,0.00012746,6.547e-05,0.0,5578.289927807166,6798.127680440125,427.127680440125,415.7687209714268,424.48663990882324,7.657166714327303,25.3,B,4,1,0.0837822966177944
ODIN,2001-007A,2026-04-10 08:17:50.652960,15.61935111,0.0004003,97.4006,137.7539,74.5727,285.5973,0,U,26702,999,37877,0.0005721,0.00049884,0.0,5531.599833534954,6760.141169631929,389.1411696319292,379.435085121725,384.84725414213244,7.678650110224539,25.3,A,4,1,0.04386121655313663
PCSAT (NO-44),2001-043C,2026-04-10 08:07:52.274208,14.31929705,0.0006777,67.0508,59.7541,264.5051,95.5278,0,U,26931,999,28073,9.6165e-05,1.75e-06,0.0,6033.815745166066,7163.357478835531,792.3574788355309,780.5028714721238,790.2120861989379,7.459409495086549,25.3,C,4,1,0.08590985057500372
PROBA-1,2001-049B,2026-04-10 11:49:46.928064,15.07241312,0.0055139,97.9633,106.6682,353.3736,6.6755,0,U,26958,999,33342,0.00026698,4.093e-05,0.0,5732.326954690053,6922.706152136089,551.7061521360893,506.53504268382676,582.8772615883518,7.587956151983855,25.3,B,4,1,0.07503528086566752
TIMED,2001-055B,2026-04-10 11:56:09.115872,14.95140088,0.0002439,74.07,11.2965,233.9344,126.1614,0,U,26998,999,32070,0.00013659,1.46e-05,0.0,5778.7227226028335,6960.009509031261,589.0095090312607,580.3119627120086,583.7070553505137,7.567594360242689,25.3,B,4,1,0.07989785046340536
MAROC-TUBSAT,2001-056D,2026-04-10 10:55:16.484160,13.70259612,0.001928,99.8049,276.0435,318.1189,70.7651,0,U,27004,999,21691,3.9642e-05,-1.2e-07,0.0,6305.3744884075295,7376.70674611705,1005.70674611705,984.4844555105365,1012.9290367235635,7.350747450098097,25.3,D,4,1,0.0642709391810431
COSMOS 2385,2001-058B,2026-04-10 12:32:05.659008,12.60564654,0.0006584,82.5334,263.1201,35.1412,73.9248,0,U,27056,999,11725,0.00093685,1.74e-06,0.0,6854.071286691813,7798.678315985863,1427.6783159858633,1415.5436661826188,1425.8129657891086,7.149114586182411,25.3,B,4,-1,-0.005474187856473911
COSMOS 2386,2001-058C,2026-04-10 12:35:13.185888,12.61615462,8.31e-05,82.5405,257.4784,121.9445,238.1727,0,U,27057,999,11797,0.00015276,3.8e-07,0.0,6848.36248463797,7794.347333563291,1423.3473335632907,1415.6996232998717,1416.9950438267088,7.151100537559852,25.3,C,4,1,0.07480108361209159
AQUA,2002-022A,2026-04-10 12:21:35.159328,14.62053717,0.0001644,98.4225,68.4729,111.408,342.3699,0,U,27424,999,27338,0.00018457,8.77e-06,0.0,5909.495594818833,7064.6210468010195,693.6210468010195,685.4596231009255,687.7824705011144,7.511355656304996,24.3,A,4,1,0.14757615220725367
